Company,Parent,Volume,Date
BAC,Origin,12006200,1/16/2007
BAC,Origin,12746800,1/17/2007
BAC,Origin,10111100,1/18/2007
BAC,Origin,12794000,1/19/2007
BAC,Origin,15563000,1/22/2007
BAC,Origin,17367300,1/23/2007
BAC,Origin,25262700,1/24/2007
BAC,Origin,20091400,1/25/2007
BAC,Origin,22715300,1/26/2007
BAC,Origin,22157900,1/29/2007
BAC,Origin,17991300,1/30/2007
BAC,Origin,19232300,1/31/2007
BAC,Origin,12647800,2/1/2007
BAC,Origin,12651800,2/2/2007
BAC,Origin,11112400,2/5/2007
BAC,Origin,13702200,2/6/2007
BAC,Origin,9509500,2/7/2007
BAC,Origin,13669800,2/8/2007
BAC,Origin,11423700,2/9/2007
BAC,Origin,10685400,2/12/2007
BAC,Origin,10682100,2/13/2007
BAC,Origin,12189700,2/14/2007
BAC,Origin,16916400,2/15/2007
BAC,Origin,10815700,2/16/2007
BAC,Origin,9998000,2/20/2007
BAC,Origin,11771600,2/21/2007
BAC,Origin,10215100,2/22/2007
BAC,Origin,16807800,2/23/2007
BAC,Origin,16356500,2/26/2007
BAC,Origin,31633500,2/27/2007
BAC,Origin,27398400,2/28/2007
BAC,Origin,25006600,3/1/2007
BAC,Origin,17183400,3/2/2007
BAC,Origin,18612500,3/5/2007
BAC,Origin,16716600,3/6/2007
BAC,Origin,14548500,3/7/2007
BAC,Origin,13333900,3/8/2007
BAC,Origin,10723700,3/9/2007
BAC,Origin,10574300,3/12/2007
BAC,Origin,25463400,3/13/2007
BAC,Origin,25008800,3/14/2007
BAC,Origin,19655200,3/15/2007
BAC,Origin,21922100,3/16/2007
BAC,Origin,12994400,3/19/2007
BAC,Origin,10061800,3/20/2007
BAC,Origin,21716000,3/21/2007
BAC,Origin,20661200,3/22/2007
BAC,Origin,13102700,3/23/2007
BAC,Origin,13472600,3/26/2007
BAC,Origin,20025700,3/27/2007
BAC,Origin,19919100,3/28/2007
BAC,Origin,13947300,3/29/2007
BAC,Origin,16151700,3/30/2007
BAC,Origin,16943000,4/2/2007
BAC,Origin,13101600,4/3/2007
BAC,Origin,11108100,4/4/2007
BAC,Origin,10748700,4/5/2007
BAC,Origin,9290300,4/9/2007
BAC,Origin,10498700,4/10/2007
BAC,Origin,15268300,4/11/2007
BAC,Origin,12953900,4/12/2007
BAC,Origin,12906200,4/13/2007
BAC,Origin,18774400,4/16/2007
BAC,Origin,13395400,4/17/2007
BAC,Origin,19115500,4/18/2007
BAC,Origin,25404800,4/19/2007
BAC,Origin,29384700,4/20/2007
BAC,Origin,22349400,4/23/2007
BAC,Origin,15076800,4/24/2007
BAC,Origin,16116700,4/25/2007
BAC,Origin,14693900,4/26/2007
BAC,Origin,15118100,4/27/2007
BAC,Origin,19515200,4/30/2007
BAC,Origin,14725300,5/1/2007
BAC,Origin,11477800,5/2/2007
BAC,Origin,12718400,5/3/2007
BAC,Origin,13558200,5/4/2007
BAC,Origin,11593100,5/7/2007
BAC,Origin,10795300,5/8/2007
BAC,Origin,16584300,5/9/2007
BAC,Origin,17866500,5/10/2007
BAC,Origin,11040500,5/11/2007
BAC,Origin,16609200,5/14/2007
BAC,Origin,15653600,5/15/2007
BAC,Origin,18972400,5/16/2007
BAC,Origin,14744800,5/17/2007
BAC,Origin,14634500,5/18/2007
BAC,Origin,14297800,5/21/2007
BAC,Origin,16403900,5/22/2007
BAC,Origin,13478000,5/23/2007
BAC,Origin,17259600,5/24/2007
BAC,Origin,11556400,5/25/2007
BAC,Origin,14373200,5/29/2007
BAC,Origin,16051700,5/30/2007
BAC,Origin,15938900,5/31/2007
BAC,Origin,14293500,6/1/2007
BAC,Origin,12758700,6/4/2007
BAC,Origin,12630000,6/5/2007
BAC,Origin,14588700,6/6/2007
BAC,Origin,21053100,6/7/2007
BAC,Origin,18402800,6/8/2007
BAC,Origin,13209900,6/11/2007
BAC,Origin,16877600,6/12/2007
BAC,Origin,19863000,6/13/2007
BAC,Origin,17525600,6/14/2007
BAC,Origin,27194200,6/15/2007
BAC,Origin,13196100,6/18/2007
BAC,Origin,25301000,6/19/2007
BAC,Origin,21505400,6/20/2007
BAC,Origin,19282200,6/21/2007
BAC,Origin,35893600,6/22/2007
BAC,Origin,20984900,6/25/2007
BAC,Origin,21003400,6/26/2007
BAC,Origin,16095400,6/27/2007
BAC,Origin,15200500,6/28/2007
BAC,Origin,19179000,6/29/2007
BAC,Origin,11098100,7/2/2007
BAC,Origin,8331400,7/3/2007
BAC,Origin,12644600,7/5/2007
BAC,Origin,20671200,7/6/2007
BAC,Origin,21405600,7/9/2007
BAC,Origin,27025200,7/10/2007
BAC,Origin,24178900,7/11/2007
BAC,Origin,18427900,7/12/2007
BAC,Origin,14025900,7/13/2007
BAC,Origin,14072800,7/16/2007
BAC,Origin,19572700,7/17/2007
BAC,Origin,28540200,7/18/2007
BAC,Origin,22329300,7/19/2007
BAC,Origin,32525300,7/20/2007
BAC,Origin,24454400,7/23/2007
BAC,Origin,33103600,7/24/2007
BAC,Origin,33727500,7/25/2007
BAC,Origin,51484500,7/26/2007
BAC,Origin,37536200,7/27/2007
BAC,Origin,35877300,7/30/2007
BAC,Origin,33880000,7/31/2007
BAC,Origin,48411400,8/1/2007
BAC,Origin,37180800,8/2/2007
BAC,Origin,43493200,8/3/2007
BAC,Origin,52233600,8/6/2007
BAC,Origin,46093100,8/7/2007
BAC,Origin,35709200,8/8/2007
BAC,Origin,39096900,8/9/2007
BAC,Origin,32166500,8/10/2007
BAC,Origin,26263700,8/13/2007
BAC,Origin,26116600,8/14/2007
BAC,Origin,40894900,8/15/2007
BAC,Origin,69390600,8/16/2007
BAC,Origin,63492600,8/17/2007
BAC,Origin,36334500,8/20/2007
BAC,Origin,26677700,8/21/2007
BAC,Origin,30700500,8/22/2007
BAC,Origin,37119400,8/23/2007
BAC,Origin,18412600,8/24/2007
BAC,Origin,24534600,8/27/2007
BAC,Origin,30401900,8/28/2007
BAC,Origin,25674300,8/29/2007
BAC,Origin,18907100,8/30/2007
BAC,Origin,22514200,8/31/2007
BAC,Origin,24405600,9/4/2007
BAC,Origin,27360000,9/5/2007
BAC,Origin,20653000,9/6/2007
BAC,Origin,32834000,9/7/2007
BAC,Origin,20641600,9/10/2007
BAC,Origin,21040400,9/11/2007
BAC,Origin,16901500,9/12/2007
BAC,Origin,23447600,9/13/2007
BAC,Origin,18494200,9/14/2007
BAC,Origin,19139500,9/17/2007
BAC,Origin,33475200,9/18/2007
BAC,Origin,34416800,9/19/2007
BAC,Origin,19987500,9/20/2007
BAC,Origin,26822400,9/21/2007
BAC,Origin,20674800,9/24/2007
BAC,Origin,20737300,9/25/2007
BAC,Origin,21087800,9/26/2007
BAC,Origin,13994900,9/27/2007
BAC,Origin,14729500,9/28/2007
BAC,Origin,22172400,10/1/2007
BAC,Origin,26625200,10/2/2007
BAC,Origin,16454000,10/3/2007
BAC,Origin,16592800,10/4/2007
BAC,Origin,16607600,10/5/2007
BAC,Origin,10854900,10/8/2007
BAC,Origin,14764200,10/9/2007
BAC,Origin,15382700,10/10/2007
BAC,Origin,18522300,10/11/2007
BAC,Origin,14666500,10/12/2007
BAC,Origin,20870800,10/15/2007
BAC,Origin,28061000,10/16/2007
BAC,Origin,28344700,10/17/2007
BAC,Origin,49030200,10/18/2007
BAC,Origin,35663200,10/19/2007
BAC,Origin,25526300,10/22/2007
BAC,Origin,20194300,10/23/2007
BAC,Origin,28020700,10/24/2007
BAC,Origin,34432800,10/25/2007
BAC,Origin,26594400,10/26/2007
BAC,Origin,17553900,10/29/2007
BAC,Origin,20259000,10/30/2007
BAC,Origin,29107800,10/31/2007
BAC,Origin,48004100,11/1/2007
BAC,Origin,51566400,11/2/2007
BAC,Origin,37758000,11/5/2007
BAC,Origin,31114100,11/6/2007
BAC,Origin,43617100,11/7/2007
BAC,Origin,48097300,11/8/2007
BAC,Origin,45235900,11/9/2007
BAC,Origin,32698500,11/12/2007
BAC,Origin,40882500,11/13/2007
BAC,Origin,33978500,11/14/2007
BAC,Origin,32015600,11/15/2007
BAC,Origin,33513600,11/16/2007
BAC,Origin,32492400,11/19/2007
BAC,Origin,43513500,11/20/2007
BAC,Origin,29442100,11/21/2007
BAC,Origin,14465600,11/23/2007
BAC,Origin,31375200,11/26/2007
BAC,Origin,35700800,11/27/2007
BAC,Origin,36845200,11/28/2007
BAC,Origin,22607000,11/29/2007
BAC,Origin,45494200,11/30/2007
BAC,Origin,25093100,12/3/2007
BAC,Origin,24637200,12/4/2007
BAC,Origin,29247800,12/5/2007
BAC,Origin,21654800,12/6/2007
BAC,Origin,23926800,12/7/2007
BAC,Origin,30544800,12/10/2007
BAC,Origin,33997700,12/11/2007
BAC,Origin,62623400,12/12/2007
BAC,Origin,37553200,12/13/2007
BAC,Origin,33028000,12/14/2007
BAC,Origin,39410600,12/17/2007
BAC,Origin,34660100,12/18/2007
BAC,Origin,26788600,12/19/2007
BAC,Origin,28801500,12/20/2007
BAC,Origin,42798800,12/21/2007
BAC,Origin,12722200,12/24/2007
BAC,Origin,15446400,12/26/2007
BAC,Origin,19281700,12/27/2007
BAC,Origin,23522900,12/28/2007
BAC,Origin,24663300,12/31/2007
BAC,Origin,30764600,1/2/2008
BAC,Origin,22589500,1/3/2008
BAC,Origin,34921700,1/4/2008
BAC,Origin,31884400,1/7/2008
BAC,Origin,42143300,1/8/2008
BAC,Origin,44276900,1/9/2008
BAC,Origin,60532300,1/10/2008
BAC,Origin,79116300,1/11/2008
BAC,Origin,37063400,1/14/2008
BAC,Origin,42560000,1/15/2008
BAC,Origin,46457400,1/16/2008
BAC,Origin,46725700,1/17/2008
BAC,Origin,60762800,1/18/2008
BAC,Origin,85919200,1/22/2008
BAC,Origin,93531900,1/23/2008
BAC,Origin,109818800,1/24/2008
BAC,Origin,78213500,1/25/2008
BAC,Origin,47332200,1/28/2008
BAC,Origin,54214400,1/29/2008
BAC,Origin,71585900,1/30/2008
BAC,Origin,80378600,1/31/2008
BAC,Origin,60211900,2/1/2008
BAC,Origin,36302000,2/4/2008
BAC,Origin,55739200,2/5/2008
BAC,Origin,37702200,2/6/2008
BAC,Origin,47817600,2/7/2008
BAC,Origin,44693100,2/8/2008
BAC,Origin,36314700,2/11/2008
BAC,Origin,39998300,2/12/2008
BAC,Origin,33394600,2/13/2008
BAC,Origin,37342100,2/14/2008
BAC,Origin,51280800,2/15/2008
BAC,Origin,32874300,2/19/2008
BAC,Origin,38450800,2/20/2008
BAC,Origin,36158900,2/21/2008
BAC,Origin,33756000,2/22/2008
BAC,Origin,29972200,2/25/2008
BAC,Origin,30539700,2/26/2008
BAC,Origin,29710100,2/27/2008
BAC,Origin,34949400,2/28/2008
BAC,Origin,39711500,2/29/2008
BAC,Origin,37261500,3/3/2008
BAC,Origin,46582400,3/4/2008
BAC,Origin,51850800,3/5/2008
BAC,Origin,51961200,3/6/2008
BAC,Origin,43862700,3/7/2008
BAC,Origin,50356100,3/10/2008
BAC,Origin,68076000,3/11/2008
BAC,Origin,41747400,3/12/2008
